LOCALITA,TMEDIA °C,TMIN °C,TMAX °C,UMIDITA %,PRESSIONESLM mb,FENOMENI,STAGIONE
Torino,11.0,3.0,19.0,38.0,1029.0,0,spring
Torino,14.0,6.0,21.0,33.0,1025.0,0,spring
Torino,15.0,7.0,23.0,37.0,1021.0,0,spring
Torino,15.0,7.0,22.0,31.0,1012.0,0,spring
Torino,10.0,5.0,16.0,33.0,1020.0,0,spring
Torino,9.0,3.0,15.0,39.0,1025.0,0,spring
Torino,9.0,3.0,14.0,48.0,1029.0,0,spring
Torino,11.0,4.0,17.0,48.0,1030.0,0,spring
Torino,12.0,5.0,20.0,40.0,1024.0,0,spring
Torino,14.0,5.0,21.0,31.0,1017.0,0,spring
Torino,14.0,7.0,20.0,32.0,1016.0,0,spring
